Left-genes	Right-genes	Spans large gene (>200000bp)	STAR-Fusion	Fusioncatcher
MED13L	TMED4	TRUE		498=chr12:116062012-chr7:44579440,499=chr12:116078146-chr7:44579440
PCBP2	ASAH1	FALSE		137=chr12:53479660-chr8:18062421
KIF21A	SETX	FALSE		57=chr12:39301600-chr9:132261686
ATP5B	CEP250	FALSE		339=chr12:56643568-chr20:35485661,340=chr12:56643568-chr20:35485660
PYGO1	PRTG	FALSE		18=chr15:55548995-chr15:55619847
UBL7-AS1	MAPK1	FALSE		747=chr15:74467023-chr22:21770515
SERF2	H3F3B	FALSE		648=chr15:43787888-chr17:75779724,649=chr15:43787889-chr17:75779722,650=chr15:43787889-chr17:75779724,651=chr15:43785087-chr17:75778515,652=chr15:43783023-chr17:75778170,653=chr15:43783022-chr17:75778170,654=chr15:43783024-chr17:75778170,655=chr15:43787888-chr17:75779722,656=chr15:43783023-chr17:75778171,657=chr15:43783022-chr17:75778171
IQGAP1	CNDP2	FALSE		441=chr15:90457610-chr18:74520682
B2M	PHLPP1	TRUE		554=chr15:44717325-chr18:62860153
PRC1:PRC1-AS1	GNAI2	FALSE		414=chr15:90977598-chr3:50258886
MTMR10	ARL4C	FALSE		518=chr15:30944569-chr2:234493977,519=chr15:30988991-chr2:234493977
UBE3A	CD74	FALSE		46=chr15:25339054-chr5:150401887
SLTM	ANXA6	FALSE		185=chr15:58879870-chr5:151114626
PSTPIP1	CDKN2AIPNL	FALSE		337=chr15:76995405-chr5:134407768,338=chr15:76995405-chr5:134407769
UBE3A	STIM2	FALSE		675=chr15:25338328-chr4:26861710
SNRPN:SNURF	ACTB	FALSE		109=chr15:24955007-chr7:5527267,110=chr15:24955005-chr7:5527267
ANXA2	CDCA7L:DNAH11	TRUE		270=chr15:60348746-chr7:21901564
PSMA4	CAV1	FALSE		587=chr15:78546783-chr7:116526469
MYO5A	PSIP1	TRUE		71=chr15:52378567-chr9:15490106
ETFA	SET	FALSE		379=chr15:76246835-chr9:128695455,380=chr15:76285577-chr9:128695832
CCDC88C	YWHAB	FALSE		329=chr14:91362931-chr20:44907925
SYNJ2BP:SYNJ2BP-COX16	NUMB	FALSE		537=chr14:70367949-chr14:73451437
EIF5	ETV4	FALSE		202=chr14:103342484-chr17:43528414,203=chr14:103342484-chr17:43528413
ACIN1	YWHAE	FALSE		225=chr14:23091570-chr17:1345171,226=chr14:23062456-chr17:1344919,227=chr14:23062456-chr17:1344918,228=chr14:23091566-chr17:1400188,229=chr14:23091568-chr17:1345171
EIF2S1	MAP4	TRUE		490=chr14:67385801-chr3:47959760
PAPOLA	ATF2	FALSE		546=chr14:96518426-chr2:175074391
CALM1	THADA	TRUE		708=chr14:90406198-chr2:43561022,709=chr14:90406197-chr2:43561024,710=chr14:90406198-chr2:43561024,711=chr14:90406198-chr2:43561021,712=chr14:90406195-chr2:43561024,713=chr14:90406195-chr2:43561026
ITPK1	HNRNPD	FALSE		447=chr14:92940421-chr4:82373855,448=chr14:92940421-chr4:82373854
SEL1L	LUZP6:MTPN	FALSE		640=chr14:81507663-chr7:135927942,641=chr14:81507662-chr7:135927942,642=chr14:81507663-chr7:135927943
ZFYVE26	ACTB	FALSE		780=chr14:67761757-chr7:5527499
LGALS3	NUDT3:RPS10-NUDT3	FALSE		535=chr14:55138052-chr6:34311811
DYNC1H1	BCOR	FALSE		49=chr14:101970489-chrX:40051932
LGALS3	IRAK1	FALSE		442=chr14:55138055-chrX:154017812,443=chr14:55138053-chrX:154017813,444=chr14:55138055-chrX:154017813,445=chr14:55138053-chrX:154017812,446=chr14:55138052-chrX:154017813
MKS1	MPO	FALSE		9=chr17:58218729-chr17:58271655
LRRC59	GRK3	FALSE		210=chr17:50383131-chr22:25695112
WSB1	AKT2	FALSE		266=chr17:27312588-chr19:40273341
COPRS	EEF2	FALSE		349=chr17:31854369-chr19:3976264
PRKAR1A	DSC3	FALSE		366=chr17:68531734-chr18:30995988,367=chr17:68531734-chr18:30995985
LASP1	FNDC3B	TRUE		398=chr17:38920640-chr3:172149819,399=chr17:38920640-chr3:172149820
GAS7	ARL4C	FALSE		408=chr17:10016609-chr2:234493545,409=chr17:10016610-chr2:234493545
NUFIP2	LOC102723704:UBE2D3	FALSE		536=chr17:29281694-chr4:102796515
COL1A1	TAX1BP1	FALSE		148=chr17:50184442-chr7:27786146
KPNB1	AKAP9	FALSE		265=chr17:47664169-chr7:91998433
SRSF2	HIP1	TRUE		425=chr17:76734854-chr7:75597743,426=chr17:76734857-chr7:75597743,427=chr17:76734857-chr7:75593636
SRSF2	WASL	FALSE		754=chr17:76734612-chr7:123733919
EIF4A3	PFDN6	FALSE		201=chr17:80146900-chr6:33289828
ABHD15	ARHGAP18	FALSE		277=chr17:29562245-chr6:129661316,278=chr17:29562245-chr6:129661315
GNA13	SSR1	FALSE		413=chr17:65025822-chr6:7289427
SRSF1	FBXW2	FALSE		391=chr17:58005320-chr9:120784922
TOP2A	ESCO2	FALSE		376=chr17:40399988-chr8:27781576,377=chr17:40399988-chr8:27781577,378=chr17:40399989-chr8:27781576
B3GNT9	TRADD	FALSE		16=chr16:67150671-chr16:67154456
LCMT1	AQP8	FALSE		208=chr16:25170805-chr16:25221457
RGS11	KLF16	FALSE		4=chr16:274814-chr19:1863041
C16orf54	NDUFA11	FALSE		312=chr16:29743260-chr19:5903677
ARL2BP	FAM134A	FALSE		384=chr16:57252686-chr2:219184841,385=chr16:57252686-chr2:219184842
ANKRD11	CYFIP2:LOC102724404	TRUE		267=chr16:89300683-chr5:157393079
CBFB	CAST	FALSE		325=chr16:67100779-chr5:96752578
RPL13	C7orf50	FALSE		112=chr16:89561611-chr7:1085679,113=chr16:89560941-chr7:1019196,114=chr16:89560941-chr7:1133398,115=chr16:89560940-chr7:1133398,116=chr16:89560940-chr7:1019196
CIITA	CDK13	FALSE		333=chr16:10924418-chr7:40039451
PMM2	YWHAG	FALSE		571=chr16:8804046-chr7:76327102
RPL13	EEF1A1	FALSE		199=chr16:89561639-chr6:73519073,200=chr16:89561640-chr6:73519073
CFDP1	MDC1	FALSE		342=chr16:75328607-chr6:30700216,343=chr16:75425396-chr6:30700216
SETD1A	ANP32B	FALSE		184=chr16:30979897-chr9:98005134
SIN3B	HNRNPUL1	FALSE		661=chr19:16838987-chr19:41307128,662=chr19:16838987-chr19:41307352,663=chr19:16838987-chr19:41307351,664=chr19:16838986-chr19:41307351
PROSER3	LRIG1	FALSE		209=chr19:35768408-chr3:66384181
TGFB1	CNBP	FALSE		707=chr19:41341477-chr3:129170414
HNRNPUL1	ADCY3	FALSE		246=chr19:41306855-chr2:24912304,247=chr19:41306855-chr2:24912306
MAP2K2	LMNB1	FALSE		489=chr19:4107525-chr5:126836568
PTBP1	SEMA5A	TRUE		643=chr19:811517-chr5:9123279
ARHGAP35	SLC30A9	FALSE		279=chr19:46956972-chr4:42086907
RPS16	ACTB	FALSE		147=chr19:39433678-chr7:5528379
PRKCSH	TMSB4X	FALSE		721=chr19:11445392-chrX:12977097
ATP5A1	KIAA0355	FALSE		458=chr18:46086193-chr19:34262301
TXNL1	GRIPAP1	FALSE		417=chr18:56624400-chrX:48978900,418=chr18:56624400-chrX:48978901
SMCHD1	ADAM19	FALSE		670=chr18:2660490-chr5:157477844
CNDP2	PCGF3	FALSE		212=chr18:74520351-chr4:767784
ROCK1	ACTB	FALSE		79=chr18:20997177-chr7:5527498,80=chr18:20997177-chr7:5527499
RALBP1	CBX3	FALSE		609=chr18:9526213-chr7:26212380,610=chr18:9493140-chr7:26212380,611=chr18:9493142-chr7:26212380,612=chr18:9526215-chr7:26212380,613=chr18:9493140-chr7:26212378,614=chr18:9526213-chr7:26212378
ATP5A1	GLTSCR1L	FALSE		292=chr18:46093373-chr6:42866528
ROCK1	CMTR1	FALSE		347=chr18:20950905-chr6:37455100
TCF4	GTF2E2	TRUE		419=chr18:55223758-chr8:30628933
HIVEP3	MRPL43	FALSE	26=chr1:41918413-chr10:100983817	429=chr1:41918413-chr10:100987468
CEBPZ	C9orf142	FALSE	13=chr2:37211044-chr9:136993127	195=chr2:37211044-chr9:136993127
RABEPK	UBAC1	FALSE	7=chr9:125220700-chr9:135955415	34=chr9:125220700-chr9:135955415
JMJD1C	SFXN3	TRUE	3=chr10:63176297-chr10:101034692	6=chr10:63176297-chr10:101034692
ARHGDIG	KLF16	FALSE	4=chr16:281746-chr19:1863041,6=chr16:282025-chr19:1863041	3=chr16:281746-chr19:1863041,5=chr16:282025-chr19:1863041
TSC2	KMT2E	FALSE	14=chr16:2079362-chr7:105112559	207=chr16:2079362-chr7:105112559
